OrderID,CustomerID,CustomerName,City,State,Product,Category,Quantity,Price,Discount,Sales,Profit,OrderDate
ORD00001,CUST0488,Aarav Jogi,Ahmedabad,Gujarat,Monitor,Electronics,1,681,10,681,106.92,2025-01-20
ORD00002,CUST0546,Priya Yadav,Bangalore,Karnataka,Headphones,Accessories,4,21952,20,87808,16441.54,2025-11-27
ORD00003,CUST0308,Rohan Sharma,Pune,Maharashtra,USB Cable,Accessories,5,9361,10,46805,8272.05,2025-02-22
ORD00004,CUST0661,Meera Patel,Chennai,Tamil Nadu,Printer,Office,3,26337,20,79011,11493.24,2025-12-12
ORD00005,CUST0973,Diya Kumar,Chennai,Tamil Nadu,Headphones,Accessories,2,10774,15,21548,2518.41,2025-05-24
ORD00006,CUST0335,Rahul Jogi,Ahmedabad,Gujarat,Keyboard,Accessories,1,12660,5,12660,1523.66,2025-11-18
ORD00007,CUST0748,Kiran Yadav,Kolkata,West Bengal,Keyboard,Accessories,4,38861,5,155444,33214.74,2025-11-20
ORD00008,CUST0465,Arjun Naidu,Delhi,Delhi,USB Cable,Accessories,3,35542,15,106626,29005.17,2025-03-27
ORD00009,CUST0899,Shivani Naidu,Chennai,Tamil Nadu,Speaker,Electronics,1,42337,20,42337,5245.97,2025-10-01
ORD00010,CUST0767,Rohan Patel,Chennai,Tamil Nadu,Speaker,Electronics,1,15191,15,15191,4031.12,2025-11-08
ORD00011,CUST0201,Ananya Reddy,Bangalore,Karnataka,Mouse,Accessories,2,33429,10,66858,10997.02,2025-10-14
ORD00012,CUST0449,Arjun Singh,Bangalore,Karnataka,Printer,Office,1,21036,20,21036,4535.99,2025-08-25
ORD00013,CUST0536,Shivani Sharma,Delhi,Delhi,Speaker,Electronics,3,39177,20,117531,27655.87,2025-05-31
ORD00014,CUST0414,Diya Reddy,Kolkata,West Bengal,Speaker,Electronics,2,14048,20,28096,3384.87,2025-04-21
ORD00015,CUST0334,Priya Yadav,Kolkata,West Bengal,Printer,Office,3,31080,5,93240,9036.49,2025-04-26
ORD00016,CUST0839,Kiran Naidu,Pune,Maharashtra,Headphones,Accessories,2,30408,0,60816,11668.08,2025-03-23
