CustomerID,CustomerName,City,State
CUST0001,Vihaan Patel,Ahmedabad,Gujarat
CUST0002,Shivani Kumar,Delhi,Delhi
CUST0003,Kiran Verma,Ahmedabad,Gujarat
CUST0004,Kiran Yadav,Kolkata,West Bengal
CUST0005,Rohan Patel,Mumbai,Maharashtra
CUST0006,Rahul Jogi,Delhi,Delhi
CUST0007,Meera Yadav,Pune,Maharashtra
CUST0008,Sneha Gupta,Ahmedabad,Gujarat
CUST0009,Ananya Gupta,Mumbai,Maharashtra
CUST0010,Aarav Reddy,Delhi,Delhi
CUST0011,Meera Reddy,Bangalore,Karnataka
CUST0012,Sneha Naidu,Delhi,Delhi
CUST0013,Vihaan Kumar,Delhi,Delhi
CUST0014,Sneha Reddy,Mumbai,Maharashtra
CUST0015,Rohan Jogi,Bangalore,Karnataka
CUST0016,Arjun Yadav,Ahmedabad,Gujarat
CUST0017,Priya Naidu,Delhi,Delhi
CUST0018,Diya Naidu,Mumbai,Maharashtra
CUST0019,Meera Verma,Bangalore,Karnataka
CUST0020,Sneha Sharma,Hyderabad,Telangana
CUST0021,Ananya Yadav,Pune,Maharashtra
CUST0022,Ananya Jogi,Delhi,Delhi
CUST0023,Ananya Verma,Kolkata,West Bengal
CUST0024,Sneha Jogi,Delhi,Delhi
CUST0025,Shivani Verma,Chennai,Tamil Nadu
CUST0026,Arjun Naidu,Mumbai,Maharashtra
CUST0027,Ananya Yadav,Delhi,Delhi
CUST0028,Ananya Sharma,Ahmedabad,Gujarat
CUST0029,Shivani Yadav,Chennai,Tamil Nadu
CUST0030,Rohan Patel,Delhi,Delhi
CUST0031,Shivani Reddy,Delhi,Delhi
CUST0032,Aditya Kumar,Kolkata,West Bengal
CUST0033,Priya Naidu,Kolkata,West Bengal
CUST0034,Rahul Verma,Delhi,Delhi
CUST0035,Rohan Kumar,Pune,Maharashtra
CUST0036,Arjun Gupta,Mumbai,Maharashtra
CUST0037,Aarav Naidu,Ahmedabad,Gujarat
CUST0038,Meera Jogi,Bangalore,Karnataka
CUST0039,Aditya Verma,Kolkata,West Bengal
CUST0040,Diya Yadav,Mumbai,Maharashtra
CUST0041,Ananya Reddy,Kolkata,West Bengal
CUST0042,Shivani Sharma,Bangalore,Karnataka
CUST0043,Shivani Naidu,Ahmedabad,Gujarat
CUST0044,Vivaan Jogi,Kolkata,West Bengal
CUST0045,Meera Naidu,Pune,Maharashtra
CUST0046,Rohan Verma,Chennai,Tamil Nadu
CUST0047,Rahul Verma,Chennai,Tamil Nadu
CUST0048,Sneha Sharma,Bangalore,Karnataka
CUST0049,Priya Kumar,Hyderabad,Telangana
CUST0050,Rahul Patel,Pune,Maharashtra
CUST0051,Aditya Gupta,Kolkata,West Bengal
CUST0052,Vihaan Jogi,Mumbai,Maharashtra
CUST0053,Sai Verma,Pune,Maharashtra
CUST0054,Aarav Kumar,Chennai,Tamil Nadu
CUST0055,Meera Reddy,Hyderabad,Telangana
CUST0056,Priya Sharma,Pune,Maharashtra
CUST0057,Arjun Patel,Delhi,Delhi
CUST0058,Priya Yadav,Hyderabad,Telangana
CUST0059,Vihaan Yadav,Chennai,Tamil Nadu
CUST0060,Aarav Patel,Delhi,Delhi
CUST0061,Sai Gupta,Delhi,Delhi
CUST0062,Sneha Sharma,Bangalore,Karnataka
CUST0063,Vivaan Gupta,Delhi,Delhi
CUST0064,Rahul Sharma,Bangalore,Karnataka
CUST0065,Sai Jogi,Hyderabad,Telangana
CUST0066,Sai Kumar,Pune,Maharashtra
CUST0067,Rohan Kumar,Kolkata,West Bengal
CUST0068,Diya Gupta,Mumbai,Maharashtra
CUST0069,Kiran Reddy,Delhi,Delhi
CUST0070,Vivaan Yadav,Hyderabad,Telangana
CUST0071,Arjun Verma,Kolkata,West Bengal
CUST0072,Rahul Naidu,Chennai,Tamil Nadu
CUST0073,Aditya Sharma,Delhi,Delhi
CUST0074,Rohan Verma,Ahmedabad,Gujarat
CUST0075,Diya Singh,Pune,Maharashtra
CUST0076,Rahul Gupta,Bangalore,Karnataka
CUST0077,Sai Reddy,Chennai,Tamil Nadu
CUST0078,Sneha Singh,Ahmedabad,Gujarat
CUST0079,Sneha Yadav,Mumbai,Maharashtra
CUST0080,Aditya Sharma,Kolkata,West Bengal
CUST0081,Rohan Kumar,Hyderabad,Telangana
CUST0082,Rahul Kumar,Hyderabad,Telangana
CUST0083,Shivani Kumar,Pune,Maharashtra
CUST0084,Kiran Naidu,Bangalore,Karnataka
CUST0085,Kiran Reddy,Ahmedabad,Gujarat
CUST0086,Sneha Patel,Hyderabad,Telangana
CUST0087,Diya Patel,Chennai,Tamil Nadu
CUST0088,Arjun Jogi,Kolkata,West Bengal
CUST0089,Sai Verma,Hyderabad,Telangana
CUST0090,Sai Patel,Kolkata,West Bengal
CUST0091,Rohan Kumar,Pune,Maharashtra
CUST0092,Aarav Reddy,Ahmedabad,Gujarat
CUST0093,Rohan Verma,Mumbai,Maharashtra
CUST0094,Vivaan Yadav,Mumbai,Maharashtra
CUST0095,Priya Kumar,Hyderabad,Telangana
CUST0096,Kiran Kumar,Delhi,Delhi
CUST0097,Priya Sharma,Chennai,Tamil Nadu
CUST0098,Aditya Jogi,Kolkata,West Bengal
CUST0099,Meera Sharma,Hyderabad,Telangana
CUST0100,Sneha Kumar,Ahmedabad,Gujarat
CUST0101,Kiran Jogi,Chennai,Tamil Nadu
CUST0102,Sneha Naidu,Kolkata,West Bengal
CUST0103,Ananya Jogi,Hyderabad,Telangana
CUST0104,Arjun Jogi,Pune,Maharashtra
CUST0105,Sai Gupta,Mumbai,Maharashtra
CUST0106,Aarav Naidu,Pune,Maharashtra
CUST0107,Shivani Kumar,Bangalore,Karnataka
CUST0108,Shivani Naidu,Kolkata,West Bengal
CUST0109,Meera Reddy,Hyderabad,Telangana
CUST0110,Arjun Singh,Kolkata,West Bengal
CUST0111,Rahul Singh,Mumbai,Maharashtra
CUST0112,Priya Singh,Chennai,Tamil Nadu
CUST0113,Meera Kumar,Chennai,Tamil Nadu
CUST0114,Priya Patel,Ahmedabad,Gujarat
CUST0115,Diya Singh,Chennai,Tamil Nadu
CUST0116,Sai Naidu,Hyderabad,Telangana
CUST0117,Sai Naidu,Hyderabad,Telangana
CUST0118,Kiran Kumar,Pune,Maharashtra
CUST0119,Rahul Naidu,Chennai,Tamil Nadu
CUST0120,Meera Jogi,Mumbai,Maharashtra
CUST0121,Rahul Kumar,Delhi,Delhi
CUST0122,Arjun Naidu,Mumbai,Maharashtra
CUST0123,Rohan Reddy,Hyderabad,Telangana
CUST0124,Vihaan Naidu,Kolkata,West Bengal
CUST0125,Aditya Jogi,Mumbai,Maharashtra
CUST0126,Vivaan Jogi,Delhi,Delhi
CUST0127,Aarav Sharma,Ahmedabad,Gujarat
CUST0128,Shivani Patel,Kolkata,West Bengal
CUST0129,Rohan Gupta,Delhi,Delhi
CUST0130,Sai Reddy,Hyderabad,Telangana
CUST0131,Ananya Naidu,Kolkata,West Bengal
CUST0132,Arjun Kumar,Delhi,Delhi
CUST0133,Vivaan Gupta,Chennai,Tamil Nadu
CUST0134,Rahul Yadav,Bangalore,Karnataka
CUST0135,Aditya Gupta,Pune,Maharashtra
CUST0136,Vivaan Verma,Chennai,Tamil Nadu
CUST0137,Aditya Reddy,Mumbai,Maharashtra
CUST0138,Kiran Yadav,Bangalore,Karnataka
CUST0139,Vihaan Naidu,Delhi,Delhi
CUST0140,Rahul Naidu,Delhi,Delhi
CUST0141,Aditya Patel,Pune,Maharashtra
CUST0142,Diya Gupta,Delhi,Delhi
CUST0143,Arjun Sharma,Delhi,Delhi
CUST0144,Vihaan Jogi,Chennai,Tamil Nadu
CUST0145,Shivani Naidu,Ahmedabad,Gujarat
CUST0146,Rahul Verma,Kolkata,West Bengal
CUST0147,Meera Singh,Mumbai,Maharashtra
CUST0148,Meera Jogi,Kolkata,West Bengal
CUST0149,Diya Yadav,Ahmedabad,Gujarat
CUST0150,Vivaan Verma,Hyderabad,Telangana
CUST0151,Ananya Reddy,Kolkata,West Bengal
